ids,Gender,Athlete,Height,Weight,Smoking,Sprint,English,Reading,Math,Writing,LiveOnCampus,SleepTime,StudyTime,,,,,,,,,,81.34
46968,1,1,69.55,160.06,0.00,5.959,88.85,78.56,54.49,85.91,0,7,5,,,,,,,,,,
45095,1,1,69.57,153.19,0.00,5.153,84.50,76.92,68.00,87.00,0,6,9,,,,,,,,,,
43596,0,1,69.57,182.52,0.00,4.748,70.73,84.95,75.84,76.98,0,7,11,,,,,,,,,,
30164,0,0,69.58,183.92,0.00,6.838,71.07,86.60,63.45,75.72,0,7,5,,,,,,,,,,
23155,1,1,69.59,9999.00,0.00,5.951,85.00,84.15,73.84,85.49,0,3,7,,,,,,,,,,
38186,0,0,69.62,9999.00,0.00,7.976,74.88,78.19,61.91,85.39,0,4,7,,,,,,,,,,
41288,0,0,69.63,176.11,2.00,7.848,79.48,101.59,73.49,71.67,1,5,1,,,,,,,,,,
42216,0,0,69.66,148.39,1.00,7.767,87.73,80.76,54.12,71.37,0,2,4,,,,,,,,,,
36109,1,1,69.66,168.23,0.00,5.162,82.92,81.07,64.33,81.49,1,5,4,,,,,,,,,,
34212,1,1,69.66,9999.00,1.00,5.795,82.98,84.31,67.97,90.90,0,6,16,,,,,,,,,,
32380,0,0,69.67,189.78,2.00,8.527,96.00,73.03,65.42,86.18,0,8,16,,,,,,,,,,
34176,0,1,69.70,173.56,0.00,5.522,65.26,77.09,56.32,72.51,1,4,5,,,,,,,,,,
43610,1,0,69.70,216.06,1.00,8.478,79.61,78.38,45.79,77.91,1,3,6,,,,,,,,,,
22961,0,1,69.73,221.92,0.00,5.585,82.18,81.02,66.15,79.47,0,11,6,,,,,,,,,,
45420,0,1,69.77,230.59,0.00,4.620,84.40,76.60,63.42,72.67,1,4,16,,,,,,,,,,
33055,0,1,69.78,9999.00,0.00,4.673,58.87,74.07,57.48,73.15,1,5,5,,,,,,,,,,
23659,0,0,69.82,274.67,0.00,6.36,83.23,84.39,59.27,75.95,0,3,6,,,,,,,,,,
26367,1,0,69.84,174.28,0.00,6.969,77.24,72.75,63.06,84.48,0,4,21.00,,,,,,,,,,
48942,1,0,69.84,238.91,0.00,6.756,81.22,83.18,85.32,85.00,0,4,9,,,,,,,,,,
42914,1,1,69.92,190.62,0.00,6.118,85.06,80.56,69.25,85.20,1,4,10,,,,,,,,,,
36714,0,0,69.93,199.78,0.00,6.905,95.11,94.66,73.25,77.75,1,6,6,,,,,,,,,,
44795,1,0,69.94,240.42,0.00,6.598,93.00,83.23,86.66,90.94,1,5,5,,,,,,,,,,
29529,1,1,69.94,9999.00,0.00,4.637,89.68,90.60,69.89,80.68,0,3,2,,,,,,,,,,
46265,0,1,69.97,172.91,0.00,5.521,91.92,73.49,63.88,85.42,0,8,18.00,,,,,,,,,,
22186,0,0,69.97,210.45,1.00,8.549,94.41,92.48,73.18,84.32,1,6,9,,,,,,,,,,
27638,0,0,69.99,291.73,0.00,7.460,54.78,69.84,60.41,86.99,0,5,5,,,,,,,,,,
42217,,1,70.10,186.81,0.00,5.617,87.15,91.86,70.96,89.84,1,7,4,,,,,,,,,,
29045,0,0,70.12,164.59,0.00,8.498,86.00,91.34,64.41,71.02,0,1,6,,,,,,,,,,
28084,0,0,70.16,9999.00,0.00,8.246,91.72,86.81,71.22,81.83,1,6,4,,,,,,,,,,
23889,0,1,70.29,175.49,0.00,4.593,81.74,86.41,66.21,76.24,1,9,8,,,,,,,,,,
25893,0,1,70.33,189.23,0.00,5.798,78.84,71.03,60.19,74.68,0,5,25.00,,,,,,,,,,
37421,0,1,70.36,217.99,0.00,5.755,76.89,92.05,78.63,78.19,0,4,5,,,,,,,,,,
40601,0,1,70.38,9999.00,0.00,7.78,70.35,64.60,60.57,75.92,0,9,6,,,,,,,,,,
32219,0,0,70.40,246.64,0.00,5.753,82.45,89.05,85.19,75.51,1,6,18.00,,,,,,,,,,
45550,1,1,70.41,9999.00,0.00,5.910,84.60,67.82,62.77,82.73,0,5,4,,,,,,,,,,
26776,1,0,70.50,178.58,1.00,7.744,79.69,84.04,64.38,80.86,0,5,10,,,,,,,,,,
40916,1,0,70.50,275.79,0.00,7.276,91.25,97.69,77.73,83.53,0,6,25.00,,,,,,,,,,
38775,0,1,70.58,152.70,0.00,8.36,79.64,68.83,47.62,77.11,1,5,5,,,,,,,,,,
20278,0,0,70.66,179.20,0.00,8.004,89.45,85.25,70.19,73.27,1,5,2,,,,,,,,,,
20389,0,0,70.68,198.52,0.00,6.78,96.73,86.88,71.20,84.24,1,8,7,,,,,,,,,,
36657,1,0,70.71,169.66,2.00,8.232,91.91,91.58,67.08,85.88,0,3,9,,,,,,,,,,
36104,0,1,70.74,175.65,0.00,4.716,76.49,89.04,62.25,67.08,0,1,10,,,,,,,,,,
32069,0,1,70.75,161.40,0.00,5.595,82.54,83.33,69.79,83.66,0,6,4,,,,,,,,,,
46663,1,0,70.77,267.37,1.00,6.391,84.79,87.04,64.34,76.01,1,5,5,,,,,,,,,,
42520,0,0,70.79,196.86,0.00,7.068,85.68,77.20,70.87,69.61,0,3,8,,,,,,,,,,
31078,1,0,70.85,151.98,0.00,6.85,82.12,69.32,58.70,84.21,0,5,16.00,,,,,,,,,,
33022,0,1,70.95,157.37,0.00,5.771,87.37,84.39,70.13,75.07,0,5,12,,,,,,,,,,
44752,1,0,71.10,150.07,0.00,8.897,85.36,90.18,60.03,85.15,1,3,1,,,,,,,,,,
48216,0,1,71.21,170.94,2.00,5.78,94.33,76.88,74.19,79.99,1,8,4,,,,,,,,,,
33017,0,1,71.28,153.92,0.00,4.717,76.75,81.10,51.11,74.47,1,3,2,,,,,,,,,,
31549,0,0,71.31,244.67,0.00,7.452,76.51,80.59,71.18,84.17,0,5,18.00,,,,,,,,,,
24362,1,0,71.35,212.08,0.00,7.559,79.10,88.78,62.85,76.60,0,6,8,,,,,,,,,,
29507,1,0,71.39,144.70,0.00,8.193,94.85,86.33,68.35,89.00,0,5,12,,,,,,,,,,
23217,0,0,71.41,224.02,0.00,6.475,75.20,81.54,66.66,85.38,0,5,5,,,,,,,,,,
35269,0,1,71.45,144.14,0.00,3.86,87.17,82.29,67.32,84.23,0,4,11,,,,,,,,,,
49838,0,1,71.56,9999.00,0.00,5.651,68.97,78.16,60.06,71.87,1,10,7,,,,,,,,,,
30968,1,0,71.62,9999.00,0.00,6.989,78.00,81.51,62.14,74.13,0,3,15.00,,,,,,,,,,
41291,0,1,71.67,205.62,0.00,4.890,84.67,79.64,60.85,76.77,0,9,6,,,,,,,,,,
22054,0,1,71.67,9999.00,0.00,5.38,84.96,86.06,56.81,72.00,0,8,3,,,,,,,,,,
40900,0,1,71.71,200.31,0.00,5.78,92.22,88.87,63.82,88.80,0,5,11,,,,,,,,,,
25382,0,1,71.72,164.17,0.00,4.574,87.54,84.77,69.78,78.52,0,5,3,,,,,,,,,,
23017,,0,71.72,224.57,0.00,7.638,76.63,84.19,65.25,72.61,0,8,4,,,,,,,,,,
46808,0,0,71.79,155.62,2.00,7.221,90.18,81.70,80.51,75.58,0,7,6,,,,,,,,,,
46722,1,1,71.80,152.03,1.00,6.481,97.49,78.84,64.89,88.09,0,3,10,,,,,,,,,,
40274,0,1,71.91,222.87,0.00,6.84,97.56,67.31,58.64,65.89,0,8,3,,,,,,,,,,
36009,0,0,71.97,205.43,0.00,7.954,84.25,84.65,60.12,83.74,0,5,14,,,,,,,,,,
21610,0,1,72.05,177.00,0.00,5.124,94.38,89.54,82.12,82.54,0,3,12,,,,,,,,,,
21083,1,0,72.05,234.64,0.00,6.746,78.85,86.92,68.53,71.42,0,5,3,,,,,,,,,,
39281,0,1,72.09,184.58,0.00,5.653,87.89,93.30,70.65,75.39,1,4,4,,,,,,,,,,
49879,0,1,72.09,217.25,0.00,5.460,72.80,73.18,53.71,72.41,0,6,4,,,,,,,,,,
21254,0,1,72.15,9999.00,0.00,5.203,71.87,93.95,78.54,75.98,0,8,9,,,,,,,,,,
30056,0,1,72.17,175.91,0.00,4.36,81.35,73.57,67.89,69.86,1,7,4,,,,,,,,,,
46919,1,1,72.26,166.04,0.00,5.381,82.56,77.19,60.73,83.54,0,3,6,,,,,,,,,,
39796,1,0,72.35,230.27,2.00,7.312,88.97,86.53,52.48,81.21,0,4,2,,,,,,,,,,
43783,0,0,72.35,9999.00,0.00,7.978,88.24,81.50,60.02,81.44,1,7,1,,,,,,,,,,
25875,1,0,72.41,9999.00,0.00,7.571,78.41,88.07,66.28,82.75,1,8,4,,,,,,,,,,
29115,0,1,72.49,217.29,0.00,5.550,86.30,92.01,65.03,76.40,0,5,13.00,,,,,,,,,,
22069,0,0,72.57,224.92,0.00,7.135,83.19,89.74,72.56,76.63,1,3,7,,,,,,,,,,
35048,1,0,72.68,270.29,1.00,6.16,91.35,86.26,58.31,77.66,0,3,11,,,,,,,,,,
23731,0,1,72.69,209.32,0.00,5.554,87.83,84.06,63.32,72.53,0,4,3,,,,,,,,,,
36555,0,0,72.69,253.60,2.00,6.716,70.48,85.48,65.88,71.44,0,7,7,,,,,,,,,,
21345,0,1,72.81,228.27,0.00,7.65,56.89,90.42,75.93,79.71,0,7,19,,,,,,,,,,
49326,0,0,72.85,194.74,0.00,7.812,69.48,79.78,54.69,69.38,1,5,6,,,,,,,,,,
41147,0,0,73.01,173.43,0.00,6.90,75.58,74.57,63.84,85.00,1,4,3,,,,,,,,,,
39542,1,0,73.06,213.32,0.00,7.930,75.38,76.45,63.70,76.69,1,6,14.00,,,,,,,,,,
41157,1,0,73.12,159.82,0.00,8.512,77.67,92.88,76.91,78.91,1,11,4,,,,,,,,,,
29757,0,1,73.19,174.59,0.00,5.835,78.74,81.77,70.19,75.83,0,3,9,,,,,,,,,,
41165,1,0,73.21,161.72,0.00,8.783,80.14,86.07,74.68,88.19,0,8,6,,,,,,,,,,
31862,0,1,73.25,9999.00,0.00,5.625,75.44,86.14,59.64,76.88,1,3,5,,,,,,,,,,
34469,0,1,73.28,186.90,0.00,5.341,87.01,83.46,61.09,79.60,0,5,14,,,,,,,,,,
34919,0,0,73.35,9999.00,1.00,4.73,59.83,74.71,55.54,74.97,1,6,7,,,,,,,,,,
26481,0,1,73.36,181.20,0.00,5.707,64.01,76.44,68.95,73.62,1,4,11,,,,,,,,,,
40229,0,0,73.37,180.81,0.00,7.383,84.12,86.28,67.47,78.80,0,6,8,,,,,,,,,,
39341,0,1,73.48,212.18,0.00,5.456,77.64,71.09,66.48,74.43,1,7,26.00,,,,,,,,,,
48976,0,1,73.51,174.89,2.00,5.845,85.37,71.20,58.10,77.72,0,4,8,,,,,,,,,,
37713,0,1,73.55,181.47,0.00,6.44,70.76,80.71,69.43,74.74,0,3,16.00,,,,,,,,,,
30268,0,0,73.58,319.65,1.00,6.535,81.10,87.48,71.30,72.35,0,4,11,,,,,,,,,,
26582,0,1,73.71,197.09,0.00,4.749,85.67,67.62,53.06,77.68,0,3,12,,,,,,,,,,
22938,0,0,73.84,261.08,0.00,6.430,75.56,54.75,57.61,67.00,0,3,9,,,,,,,,,,
40408,0,0,73.90,181.27,0.00,5.37,75.66,81.97,60.76,75.20,1,8,8,,,,,,,,,,
22617,0,1,74.05,9999.00,2.00,5.504,82.14,86.18,67.71,76.71,1,5,7,,,,,,,,,,
43973,1,0,74.10,212.69,2.00,8.429,80.53,94.46,76.73,86.66,1,12,3,,,,,,,,,,
30426,0,0,74.13,157.94,0.00,8.044,80.01,78.45,59.68,76.80,1,3,24.00,,,,,,,,,,
25251,0,1,74.23,9999.00,0.00,4.631,93.63,98.19,79.65,73.97,1,4,4,,,,,,,,,,
36524,0,1,74.27,167.12,2.00,5.707,75.05,71.04,54.73,72.09,1,5,2,,,,,,,,,,
29967,0,0,74.28,264.16,0.00,6.091,73.27,82.94,70.89,76.99,0,6,19,,,,,,,,,,
38362,0,0,74.29,184.60,0.00,9.071,90.50,84.56,68.59,73.07,1,4,1,,,,,,,,,,
49213,0,1,74.32,164.91,0.00,5.685,89.30,90.92,66.46,82.21,1,2,6,,,,,,,,,,
30070,0,1,74.33,9999.00,0.00,5.772,76.55,81.33,61.31,79.30,0,9,9,,,,,,,,,,
46857,0,0,74.34,300.24,0.00,6.284,93.34,92.08,71.69,79.27,0,4,11,,,,,,,,,,
28044,0,0,74.37,9999.00,0.00,5.35,85.18,96.12,73.09,75.36,0,4,9,,,,,,,,,,
27365,1,0,74.40,162.16,1.00,8.370,78.66,79.62,52.03,85.68,0,4,3,,,,,,,,,,
30424,0,0,74.45,190.46,0.00,8.047,79.59,83.55,67.99,73.90,0,1,11,,,,,,,,,,
22742,1,0,74.47,9999.00,0.00,7.499,84.14,68.46,47.42,85.33,1,4,8,,,,,,,,,,
35886,0,1,74.49,214.03,0.00,4.984,80.02,84.81,64.96,67.97,0,6,10,,,,,,,,,,
26998,0,1,74.56,205.34,0.00,5.259,85.24,81.39,70.74,75.00,0,3,7,,,,,,,,,,
27539,1,0,74.57,266.78,0.00,6.550,85.43,87.70,70.57,77.46,1,11,1,,,,,,,,,,
34705,0,0,74.58,269.38,0.00,6.850,82.95,63.56,57.54,75.98,1,1,7,,,,,,,,,,
38644,0,0,74.80,197.22,2.00,8.177,79.38,82.64,66.51,57.00,0,4,14,,,,,,,,,,
48541,0,0,74.86,267.24,0.00,8.899,90.87,76.84,71.09,80.39,1,4,3,,,,,,,,,,
38980,0,0,74.92,165.06,0.00,8.926,88.44,84.15,78.38,69.52,0,6,5,,,,,,,,,,
47835,1,0,74.93,162.20,0.00,9.244,83.79,95.46,67.86,80.03,1,8,4,,,,,,,,,,
36368,0,1,74.96,183.16,0.00,4.642,68.77,85.45,64.91,70.19,0,10,8.00,,,,,,,,,,
39550,0,1,75.17,168.11,0.00,5.328,89.24,80.79,57.88,78.24,0,6,4,,,,,,,,,,
33204,0,1,75.38,163.87,0.00,5.141,92.32,86.05,62.61,79.61,1,8,3,,,,,,,,,,
31189,0,1,75.44,205.84,0.00,5.886,81.19,89.84,68.40,81.66,1,8,12,,,,,,,,,,
32224,0,1,75.50,212.01,0.00,5.031,46.89,77.85,63.79,85.42,0,7,4,,,,,,,,,,
44088,0,1,75.91,9999.00,0.00,4.566,85.34,81.42,73.51,74.00,1,8,10,,,,,,,,,,
40662,0,1,76.12,220.77,2.00,5.671,81.41,74.40,65.10,76.24,0,4,4,,,,,,,,,,
45303,0,1,76.12,9999.00,0.00,5.605,96.42,99.42,77.14,81.30,1,4,1,,,,,,,,,,
30139,0,1,76.18,208.45,0.00,5.115,86.22,79.21,68.17,72.81,0,3,14,,,,,,,,,,
33454,1,0,76.30,228.36,2.00,7.586,65.89,76.12,64.49,85.19,0,6,4,,,,,,,,,,
29238,0,1,76.44,195.20,0.00,5.232,86.46,91.52,74.07,78.15,0,8,13,,,,,,,,,,
45901,0,1,76.76,9999.00,0.00,4.741,78.37,83.32,65.79,81.93,1,10,4,,,,,,,,,,
34717,0,1,76.97,157.67,0.00,5.887,76.47,80.82,68.19,78.88,1,7,1,,,,,,,,,,
46911,1,0,76.97,269.82,0.00,7.153,77.36,80.47,72.62,89.02,1,5,4,,,,,,,,,,
27203,1,0,77.03,220.63,0.00,7.423,89.33,95.46,82.45,86.08,0,4,12,,,,,,,,,,
24480,0,1,77.19,207.04,0.00,5.392,86.69,80.53,63.20,70.74,0,9,7,,,,,,,,,,
37881,1,0,77.33,202.67,0.00,7.394,89.65,80.21,63.59,86.54,0,6,5,,,,,,,,,,
32521,0,1,77.49,230.42,0.00,4.979,76.90,85.24,75.94,67.00,0,5,6,,,,,,,,,,
42830,0,1,77.55,166.64,0.00,5.238,76.12,88.46,66.48,84.00,0,7,2,,,,,,,,,,
32657,0,0,77.58,9999.00,0.00,6.333,78.08,70.90,61.43,79.37,0,3,17,,,,,,,,,,
26707,0,0,77.91,172.53,0.00,8.991,83.82,87.67,70.43,74.04,0,5,3,,,,,,,,,,
31807,0,0,78.20,291.99,0.00,7.177,89.65,73.72,58.64,77.89,1,1,3,,,,,,,,,,
38549,0,0,78.55,164.79,0.00,8.142,91.20,89.95,77.45,82.24,0,6,3,,,,,,,,,,
29103,0,0,78.62,221.55,2.00,5.67,82.87,83.06,71.03,69.87,0,7,9,,,,,,,,,,
38091,0,1,78.68,238.64,2.00,5.768,67.03,68.43,64.06,68.87,1,5,8,,,,,,,,,,
49688,0,0,79.00,9999.00,0.00,4.00,97.23,64.74,67.72,84.35,1,13,7,,,,,,,,,,
45711,0,0,79.25,334.44,0.00,6.485,81.84,87.51,67.33,77.83,0,4,23.00,,,,,,,,,,
20230,0,1,80.11,9999.00,0.00,5.203,81.60,75.60,65.36,76.07,1,8,3,,,,,,,,,,
40193,0,0,80.41,321.24,2.00,6.832,89.53,83.73,72.98,81.03,1,4,4,,,,,,,,,,
49445,0,1,80.71,206.96,0.00,4.930,93.57,85.35,66.54,82.41,0,10,3.00,,,,,,,,,,
44968,0,0,80.73,225.58,0.00,7.079,88.62,78.27,68.66,77.58,0,3,10,,,,,,,,,,
41168,0,1,80.86,226.48,0.00,5.998,73.63,79.24,71.05,78.69,0,4,10,,,,,,,,,,
27037,0,0,82.40,329.20,2.00,6.698,72.66,74.61,63.23,71.70,1,9,4,,,,,,,,,,
48361,0,0,83.73,206.55,0.00,7.817,95.23,76.72,69.70,82.44,1,5,6,,,,,,,,,,
47709,0,0,84.16,208.06,1.00,8.034,89.25,87.09,66.90,80.91,0,10,6,,,,,,,,,,
42630,0,0,84.41,350.07,0.00,6.646,71.29,83.84,68.85,76.56,1,2,4,,,,,,,,,,
23514,1,0,9999.00,115.19,2.00,8.314,87.76,80.41,46.68,83.13,0,0,4,,,,,,,,,,
30953,1,0,9999.00,118.99,0.00,7.875,72.79,71.65,68.83,78.85,1,8,11,,,,,,,,,,
22652,1,0,9999.00,127.17,0.00,7.226,76.69,70.11,53.54,78.82,0,3,4,,,,,,,,,,
43344,0,0,9999.00,132.69,1.00,7.443,70.42,85.29,57.95,79.22,1,9,7.00,,,,,,,,,,
25871,0,1,9999.00,148.82,0.00,4.524,83.95,74.02,74.92,64.06,0,4,21.00,,,,,,,,,,
47887,1,1,9999.00,151.97,0.00,5.527,86.59,79.22,57.58,70.89,1,4,3,,,,,,,,,,
33358,1,0,9999.00,155.65,0.00,3.46,85.83,97.22,77.92,73.17,0,3,8,,,,,,,,,,
45788,1,1,9999.00,165.64,0.00,5.772,83.46,87.08,64.73,85.32,0,6,5,,,,,,,,,,
35684,0,0,9999.00,167.26,0.00,5.595,57.54,86.65,63.07,71.33,0,2,7,,,,,,,,,,
43142,0,0,9999.00,174.81,0.00,6.348,96.48,81.68,63.49,85.67,1,1,5,,,,,,,,,,
45256,1,1,9999.00,174.82,2.00,6.486,84.96,90.88,59.03,79.53,1,7,14.00,,,,,,,,,,
24556,1,0,9999.00,180.44,0.00,6.259,84.09,69.80,56.00,83.00,1,8,1,,,,,,,,,,
37301,1,0,9999.00,180.47,2.00,7.623,90.83,90.28,66.51,78.65,0,7,1,,,,,,,,,,
47676,0,0,9999.00,181.18,1.00,7.109,88.45,88.33,71.93,78.05,0,4,18,,,,,,,,,,
33692,0,1,9999.00,187.80,0.00,5.357,72.00,80.06,70.34,74.80,0,6,16,,,,,,,,,,
22820,1,0,9999.00,198.34,0.00,8.473,74.06,88.68,55.89,73.16,1,2,6,,,,,,,,,,
33162,0,0,9999.00,204.54,2.00,5.451,81.73,86.80,67.03,77.71,1,6,10,,,,,,,,,,
37328,0,1,9999.00,216.02,2.00,5.867,88.57,83.81,63.18,75.69,0,5,9,,,,,,,,,,
39181,0,0,9999.00,216.33,2.00,8.892,88.44,72.81,62.49,79.90,0,2,6,,,,,,,,,,
20531,0,1,9999.00,261.59,0.00,4.503,93.69,87.70,76.35,79.08,1,4,1,,,,,,,,,,
41227,1,0,9999.00,272.51,0.00,7.296,87.73,80.22,69.55,82.11,1,5,8,,,,,,,,,,
23871,0,0,9999.00,297.21,0.00,6.992,100.78,73.73,60.88,83.99,0,4,6,,,,,,,,,,
36691,0,0,9999.00,9999.00,0.00,6.924,70.35,75.49,59.63,75.31,1,8,8,,,,,,,,,,
22416,0,1,9999.00,9999.00,0.00,4.679,76.87,81.84,76.81,76.28,0,6,2,,,,,,,,,,
23643,0,1,9999.00,9999.00,0.00,5.34,80.86,75.15,75.69,81.12,0,5,6,,,,,,,,,,
34021,1,0,9999.00,9999.00,0.00,5.46,87.72,84.99,65.31,86.00,0,1,10,,,,,,,,,,
39715,0,1,9999.00,9999.00,0.00,4.751,87.86,80.51,70.42,74.57,1,9,6,,,,,,,,,,
